Symbols	EntrezID	EnsemblID	Ensembl_version_id	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
AC010186.3	NA	ENSG00000257027	ENSG00000257027.1	16	8	148	183	96	29,771655678204	2,2406859407567	0,485838428430556	4,61199816571729	3,98816515103115e-06	2,331726255558e-05	ENSG00000257027.1	AC010186.3	Up
LSM14A	26065	ENSG00000257103	ENSG00000257103.8	112	60	2692	2607	2533	228,894765638476	0,758692070297384	0,234715240880388	3,23239371866787	0,0012275779081006	0,00416713561792938	ENSG00000257103.8	LSM14A	NC
GATC	283459	ENSG00000257218	ENSG00000257218.6	4	20	1580	1776	1338	67,9736700765246	-1,2197586323078	0,60181957209555	-2,02678458605221	0,0426844474965422	0,0874766684728946	ENSG00000257218.6	GATC	NC
LINC01619	256021	ENSG00000257242	ENSG00000257242.8	23	0	11	16	18	24,8630494533854	5,45124773331377	1,39593770114882	3,90507952384088	9,419440475382e-05	0,000415980138331475	ENSG00000257242.8	LINC01619	Up
ZNF271P	10778	ENSG00000257267	ENSG00000257267.3	48	81	2377	2283	2264	197,20669117386	0,629314574668281	0,287166695792642	2,19146086189151	0,0284184589912658	0,0631723742523247	ENSG00000257267.3	ZNF271P	NC
AC121761.1	NA	ENSG00000257497	ENSG00000257497.2	14	12	30	89	49	25,2425374651206	3,58871097184432	0,571685992927972	6,27741630237296	3,44245465590437e-10	3,65100592958225e-09	ENSG00000257497.2	AC121761.1	Up
PSMA3-AS1	379025	ENSG00000257621	ENSG00000257621.8	77	70	4196	3961	3430	248,807474633583	0,0241579081979121	0,160134801473754	0,150859825444449	0,880086292354938	0,933111782535224	ENSG00000257621.8	PSMA3-AS1	NC
GIHCG	100506844	ENSG00000257698	ENSG00000257698.2	12	10	110	50	143	25,6674739907932	2,58791848516061	0,878157477416898	2,94698678962796	0,0032088691167284	0,00971472585148953	ENSG00000257698.2	GIHCG	Up
AC010200.1	NA	ENSG00000257803	ENSG00000257803.2	0	34	33	31	28	35,8541037288715	4,96246990573505	1,48241680110351	3,34755373929989	0,000815281791528113	0,00289223233568834	ENSG00000257803.2	AC010200.1	Up
CUX1	1523	ENSG00000257923	ENSG00000257923.11	203	173	5781	5294	4956	496,374046515843	0,872938719465952	0,161417898625357	5,40794253239536	6,37528722580706e-08	5,01643513255038e-07	ENSG00000257923.11	CUX1	NC
AC009779.2	105369779	ENSG00000258056	ENSG00000258056.2	12	22	437	388	506	46,0569022721609	1,02966256611002	0,387277123780448	2,65872292186757	0,00784374408095591	0,0212856362348384	ENSG00000258056.2	AC009779.2	Up
CLEC5A	23601	ENSG00000258227	ENSG00000258227.7	26	6	4525	2813	7074	163,210169311298	-2,59621210478489	0,639271928573102	-4,06120148366252	4,88208144365739e-05	0,000230721008739825	ENSG00000258227.7	CLEC5A	Down
CHURC1	91612	ENSG00000258289	ENSG00000258289.8	160	94	7930	5603	5753	416,373911902961	0,045263924182211	0,286492532470553	0,157993382207487	0,87446201345442	0,929512247187299	ENSG00000258289.8	CHURC1	NC
LINC00641	283624	ENSG00000258441	ENSG00000258441.1	18	4	848	1010	784	50,2991110689339	-0,373714585196361	0,824066882027585	-0,453500308466287	0,650188521277537	0,787878520400456	ENSG00000258441.1	LINC00641	NC
AL357093.2	NA	ENSG00000258752	ENSG00000258752.2	253	74	64	70	4	315,643498699098	7,59145905378328	0,870771303217123	8,71808593799098	2,8294417061911e-18	6,60448836044477e-17	ENSG00000258752.2	AL357093.2	Up
AL133371.2	NA	ENSG00000258810	ENSG00000258810.1	20	2	28	7	23	22,6353878466254	4,94037552450126	1,0838705870427	4,55808616227967	5,16218607556842e-06	2,95701242346309e-05	ENSG00000258810.1	AL133371.2	Up
LINC01147	NA	ENSG00000258826	ENSG00000258826.6	53	0	91	114	149	50,8544419315425	3,45163288170948	1,52542112654416	2,26274097142548	0,0236516615815338	0,0541321644501026	ENSG00000258826.6	LINC01147	NC
LINC01146	283587	ENSG00000258867	ENSG00000258867.6	101	39	456	455	789	150,332448062439	2,67817546235422	0,485648115270061	5,51464193547818	3,49490759784997e-08	2,85896208289873e-07	ENSG00000258867.6	LINC01146	Up
CEP95	90799	ENSG00000258890	ENSG00000258890.7	43	71	1852	1707	1540	148,26121230828	0,755850038353509	0,375188586223874	2,01458697334277	0,0439479435234583	0,0897665453555635	ENSG00000258890.7	CEP95	NC
AC013457.1	NA	ENSG00000259094	ENSG00000259094.1	14	32	508	1135	10875	175,631004092271	-1,59849411838857	1,10254667529974	-1,4498199071291	0,147108746678809	0,244325080044889	ENSG00000259094.1	AC013457.1	NC
LINC02345	101928227	ENSG00000259225	ENSG00000259225.7	8	28	1606	897	302	58,7653127674522	0,0305183616801518	0,78348328361823	0,0389521542045083	0,968928535050739	0,98366195912924	ENSG00000259225.7	LINC02345	NC
USP3-AS1	100130855	ENSG00000259248	ENSG00000259248.7	46	9	103	61	62	43,1085142656544	3,97504288046396	0,814026396866726	4,88318670716861	1,04384944740385e-06	6,79402828346593e-06	ENSG00000259248.7	USP3-AS1	Up
AF111167.2	NA	ENSG00000259319	ENSG00000259319.1	52	29	614	543	563	96,848621827912	1,92263915083481	0,245885126877174	7,81925761534661	5,31357688078871e-15	9,40949553403588e-14	ENSG00000259319.1	AF111167.2	Up
INAFM2	100505573	ENSG00000259330	ENSG00000259330.3	24	48	5424	4692	6402	218,743431919492	-1,57376522394591	0,420143224488839	-3,74578270507779	0,000179832202595601	0,000745906365309709	ENSG00000259330.3	INAFM2	Down
