	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3
48388	0	0	0.00728548145925426	0	0
48389	64.2336936924731	0	3.88448625077511	4.13274651434297	3.2872698801571
48390	0	0	0	0	0
48391	0	0	0	0	0
48392	0	0	0.0256171155626656	0	0
48393	0	0	0.0769164473628702	0.0827074429490493	0.0904573549455556
48394	5.87759288689297	16.6389742316248	26.3916565861486	26.4733354591903	22.9474400181923
48395	0	0	0	0.0951619263171079	0.0693859048169125
48396	0	0	0.0285433191439721	0	0
48397	0	0	2.01562876039872	1.33531109125633	1.72171617223718
48398	0	0	0	0	0
48399	0	0	0.0678243631087719	0	0.150666536173867
48400	0	0	0.191955744647468	0.292411309977097	0.330471411890794
48401	0	0	0	0	0
48402	0	0	0	0	0
48403	0	0	0.139638394635707	0.077350870589307	0.112798476279901
48404	0	0	0.00566777407594194	0.0115118287307604	0.00944288875741508
48405	15.949404934163	9.37882384591544	92.4279616305868	90.042951168661	93.7841652090607
48406	0	0	0	0	0
