baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
132,317402159909	-0,751766033975034	0,581248453872052	-1,29336435902248	0,195885070895889	0,310601656152811	ENSG00000177000.12	MTHFR	NC
141,833881780343	-0,834440829445663	0,532687554442531	-1,56647329656298	0,117237855325671	0,202164066238171	ENSG00000011021.23	CLCN6	NC
210,245291389199	-1,12405580229616	0,212991890921894	-5,27745820477439	1,30988067218335e-07	9,8667886091793e-07	ENSG00000116685.16	KIAA2013	Down
353,250454033569	-2,6901487729874	0,303835303171956	-8,85397037441995	8,44598141603705e-19	2,05863615058917e-17	ENSG00000083444.17	PLOD1	Down
416,936338337379	-1,40888352185921	0,300731777117494	-4,68485085069268	2,80163871147221e-06	1,68994469750925e-05	ENSG00000116688.16	MFN2	Down
165,981315207775	-2,10367692831631	0,409613419094004	-5,1357617457194	2,81003475934332e-07	2,01232935564166e-06	ENSG00000116691.11	MIIP	Down
370,49705936627	-0,366086225701436	0,515208897560539	-0,710558818830218	0,477357669883438	0,639750338953566	ENSG00000028137.19	TNFRSF1B	NC
505,632307649776	-0,334735092183395	0,157069232047227	-2,13113088935679	0,0330783605823538	0,0706455986289928	ENSG00000048707.15	VPS13D	NC
287,409998224301	-0,267440939866512	0,471333869857066	-0,56741294646959	0,570433656005674	0,730197738356394	ENSG00000162496.9	DHRS3	NC
28,1830165552385	5,16835166394176	1,61331494865765	3,20356026468486	0,00135739627745122	0,00456528554015119	ENSG00000157330.10	C1orf158	Up
584,863538976423	0,624429694612559	0,143145779568676	4,36219423649148	1,28764472413744e-05	6,81313962084831e-05	ENSG00000116731.22	PRDM2	NC
100,939429087001	-0,339489615491373	0,369835733058547	-0,917947037415202	0,358646594246172	0,509427451807348	ENSG00000171729.14	TMEM51	NC
275,68485683703	1,73115799322503	0,256857712794965	6,73975476300731	1,5865418268917e-11	1,9529460140851e-10	ENSG00000142621.19	FHAD1	Up
816,458042746212	-1,71599540682075	0,217327226902428	-7,89590623907962	2,8821329960282e-15	5,21989007149235e-14	ENSG00000142634.13	EFHD2	Down
91,1761316750628	-1,93300003192368	0,682149561349645	-2,83368947434226	0,00460140207700312	0,0133101374934625	ENSG00000132906.18	CASP9	Down
101,703075566832	-0,665610793924698	0,257076346984683	-2,58915610763816	0,00962114674352581	0,0254253734102419	ENSG00000116138.13	DNAJC16	NC
473,40106499557	0,168320996711677	0,151645599975359	1,10996294478065	0,267014994512773	0,401390696597133	ENSG00000197312.12	DDI2	NC
402,272805633896	-1,37266067415016	0,141950075210788	-9,67002428221218	4,04282144763334e-22	1,27437793960735e-20	ENSG00000116786.13	PLEKHM2	Down
26,7328647862085	3,28081441695445	0,769995427890961	4,26082324402976	2,03675270374935e-05	0,000103906287672529	ENSG00000233954.6	UQCRHL	Up
47,8240389904972	4,65388498756164	0,310202208153146	15,002746161188	7,04433973774881e-51	9,70764203090538e-49	ENSG00000178715.8	AL450998.1	Up
