	V1	V2	V3	V4	V5	V6
NAME	Case1	Case2	Case3	NegCtrl1	NegCtrl2	NegCtrl3
CLASS_CvsI	Infected	Infected	Infected	Control	Control	Control
	174	155	498	228	174	336
	5	7	8	1	6	7
	2159	2259	6635	2470	2157	3393
	1091	1222	3392	1154	1101	2554
	42	33	100	40	33	34
	1037	1127	3000	1330	1209	2008
	0	0	0	2	1	0
	1643	1011	2711	1098	1695	1911
	1	2	7	1	3	0
	595	440	1397	646	569	881
	7	13	30	24	24	31
	374	386	980	390	402	566
	4	8	16	3	10	0
	63	56	186	89	53	64
	2165	1908	5417	2205	2284	3071
	626	738	2255	825	665	1159
	0	0	0	0	0	0
	537	542	1700	655	573	929
	0	0	3	0	2	1
	1	0	4	1	3	3
	0	0	0	0	0	0
	16	12	48	24	19	57
	0	0	0	0	0	0
	103	82	233	94	92	147
	419	284	874	334	360	495
	0	0	0	1	3	0
	200	221	587	246	222	318
	9981	9049	30442	10137	9136	13589
	49	31	114	44	50	53
	0	0	0	0	1	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	587	601	1814	576	568	900
	317	277	829	334	244	448
	1100	1001	2793	1100	894	1374
	0	0	0	0	0	0
	2042	1915	5657	2240	2015	3142
	113	139	304	130	128	173
	262	250	778	275	288	351
	15011	10503	34044	12382	12281	17852
	187	144	580	168	157	243
	161	136	394	160	151	253
	0	0	0	0	0	0
	1671	1496	4614	1633	1368	2238
	589	635	2187	810	739	1280
	1269	1055	3267	1220	1161	1660
	715	605	1671	693	675	1036
	206	164	535	204	236	307
	298	186	502	247	390	443
	468	313	1051	396	367	483
	0	0	0	0	1	0
	27	18	61	31	42	30
	10	12	44	7	5	18
	3582	3700	10142	4492	4137	6121
	622	459	1389	606	663	945
	2	1	6	4	1	1
	207	233	912	49	91	37
	92	106	294	134	117	227
	371	379	1223	438	382	758
	415	382	1323	514	423	790
	0	0	0	0	0	0
	94	84	242	92	92	141
	355	336	978	401	374	757
	39	31	123	29	36	53
	100	68	261	95	87	132
	436	469	1317	524	429	784
	1582	1506	4535	1436	1220	1920
	1539	1692	4931	2017	1552	2846
	380	258	962	368	324	502
	438	497	1398	543	556	684
	935	957	2810	1119	957	1642
	247	249	851	275	288	484
	804	830	2247	951	802	1337
	169	172	553	202	179	292
	188	189	521	221	185	235
	7	10	31	16	13	21
	72	73	152	43	49	103
	16	19	34	9	17	42
	7	4	48	5	6	12
	1	3	5	0	1	4
	459	492	1406	606	468	840
	0	0	3	1	0	0
	158	135	651	173	202	337
	851	1039	2880	1097	936	1467
	0	0	0	0	0	0
	834	812	2337	904	800	1502
	9	5	13	8	16	14
	1780	1871	5258	2068	1857	2961
	134	164	455	201	183	213
	1053	792	2263	901	977	1193
	1	0	0	0	0	1
	8	9	20	11	9	5
	5	7	12	10	6	8
	0	0	0	0	0	0
	861	821	2394	1068	920	1260
	1652	1738	5064	1855	1683	2946
	0	0	0	0	0	0
	0	0	0	0	0	0
	2	1	9	4	4	2
	255	285	823	318	269	408
	826	933	3092	1204	927	1492
	1	1	12	2	1	3
	6632	3939	12456	4751	5278	6741
	8925	7327	20970	8245	9228	12151
	0	0	0	0	0	0
	596	567	1921	663	569	976
	1647	1132	3187	1252	1447	1942
	0	0	0	0	0	0
	56	31	113	52	68	65
	1135	1491	4151	1405	1251	2381
	1695	1711	5057	1938	1754	2911
	107	68	225	76	77	92
	1588	1659	4924	1868	1697	2962
	1000	925	3072	1125	1109	1503
	29	22	79	23	29	30
	30	30	115	44	31	50
	1	0	2	0	1	1
	81	81	281	84	79	131
	2755	2626	8608	2979	2362	3986
	5	4	11	3	8	3
	1	3	1	4	9	4
	0	2	8	4	3	4
	1754	1744	5334	2041	1805	2958
	1016	904	2898	949	850	1282
	0	3	5	0	2	0
	1	0	0	0	0	0
	1290	1104	3612	1395	1198	1874
	2	0	0	0	0	0
	56	61	154	62	91	106
	376	493	1173	571	405	742
	766	790	2287	933	845	1614
	297	289	818	367	293	585
	3613	3087	9280	3930	3730	5621
	1627	1740	4969	2112	1673	2593
	203	229	599	288	247	425
	0	0	0	0	0	1
	2	1	5	1	6	0
	493	278	1004	415	470	643
	380	361	1054	406	296	579
	2296	2433	6839	2918	2175	3270
	157	101	329	115	133	184
	129	87	266	145	146	198
	744	678	2143	769	701	1054
	0	0	4	0	0	1
	103	94	338	111	116	208
	1	2	2	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	626	618	1982	691	668	997
	305	259	798	251	221	361
	1262	1046	3643	1078	964	1560
	0	1	0	0	0	0
	579	641	1796	609	520	903
	0	1	0	0	0	1
	12	20	52	20	28	32
	393	382	1060	455	504	873
	78	88	250	96	97	219
	3012	3518	9571	4192	3502	5775
	888	1078	2852	1201	1076	1854
	672	699	2155	888	797	1170
	389	263	905	329	339	510
	6	7	9	1	2	9
	2144	2108	6735	2672	2149	3154
	108	91	294	127	131	191
	160	177	582	207	176	292
	274	304	893	401	325	570
	296	267	893	338	323	490
	115	147	394	138	143	250
	0	0	3	0	4	2
	660	586	1652	641	615	762
	13	8	27	9	11	15
	727	740	2489	898	855	1325
	2525	1793	5999	1951	1979	3033
	3732	3958	11650	4587	3771	6348
	360	345	1100	313	373	505
	9	0	20	8	12	8
	225	196	588	178	199	278
	151	98	401	168	183	221
	76	73	206	67	74	104
	1092	1190	3797	1432	1208	2029
	0	0	0	0	0	0
	1	1	0	0	0	0
	0	0	0	0	0	0
	1175	867	2618	337	371	482
	348	350	974	416	439	715
	0	1	4	4	0	4
	255	269	832	331	304	509
	40	37	110	46	40	55
	1040	1202	3078	1256	968	1482
	1	0	0	0	0	0
	172	177	613	246	205	338
	131	103	350	138	156	215
	3	1	0	0	0	1
	12	11	26	12	14	23
	166	157	507	191	110	230
	159	134	467	199	173	228
	507	509	1560	581	516	896
	87	60	204	99	80	133
	896	1038	3241	1321	1020	1719
	147	146	464	149	126	227
	3	0	5	6	5	9
	0	0	0	0	0	0
	387	429	1103	438	519	955
	0	2	0	0	1	0
	0	0	0	0	0	1
	0	0	0	0	0	0
	526	522	1527	430	466	815
	1030	1102	3136	1122	1065	1865
	2143	2587	7750	3102	2272	3483
	5638	6286	18324	6821	5681	9199
	109	110	361	142	126	182
	2	0	2	3	0	4
	4	17	20	9	6	19
	2723	2843	8193	3347	2879	4759
	2	1	2	3	1	6
	0	0	2	0	0	0
	0	0	0	0	0	0
	2	1	4	5	2	6
	276	321	1077	371	364	517
	1	0	2	3	3	2
	7	4	17	0	5	15
	245	280	786	335	330	462
	495	391	1121	322	342	516
	11349	12948	40741	14755	12205	20107
	622	715	1854	897	775	1294
	339	372	957	356	496	881
	0	1	0	0	0	0
	485	534	1591	628	565	1365
	19	16	66	10	18	18
	310	296	1108	384	333	495
	33	38	91	27	39	73
	53	52	133	96	61	103
	57	41	113	54	45	64
	8	15	60	25	28	42
	29	27	90	43	34	63
	278	265	859	321	250	345
	0	0	0	0	1	0
	0	0	0	0	3	0
	2	0	5	6	1	4
	331	262	1067	344	308	524
	1037	1089	3111	1000	832	1493
	16	14	24	7	10	19
	0	0	4	3	0	0
	287	283	808	372	293	474
	0	1	6	2	2	1
	29	34	92	36	50	49
	0	0	0	0	0	0
	0	0	0	0	0	0
	1116	1177	3109	1294	1226	1883
	0	1	0	1	0	0
	2	5	3	1	1	2
	307	295	785	295	426	854
	7	1	22	6	4	13
	547	623	1510	777	601	951
	19417	17978	56479	20257	16743	25594
	0	0	0	1	1	2
	63	72	232	82	60	109
	136	137	383	186	175	213
	87	77	228	97	77	154
	6655	5885	16607	7681	7767	11053
	23	12	63	20	28	29
	7	9	22	6	8	9
	1118	1155	3616	1267	1039	1637
	53	50	179	76	74	70
	61	51	161	86	78	150
	0	0	0	0	0	0
	3	3	1	1	6	0
	208	220	589	280	198	380
	1360	1354	4077	1364	1132	1780
	246	239	801	330	211	368
	543	490	1530	561	551	780
	353	301	934	279	228	385
	7615	5740	18112	6736	6712	9712
	938	1090	2968	1251	1099	1480
	9	11	33	20	26	7
	86	57	203	60	68	109
	232	195	518	206	214	235
	738	591	1975	717	756	991
	222	177	689	262	198	327
	500	431	1361	456	482	667
	883	699	2128	694	617	1010
	200	133	467	117	122	185
	146	98	322	89	116	156
	0	2	1	0	0	0
	196	180	508	212	187	310
	312	244	760	288	236	424
	471	439	1315	543	444	744
	0	0	0	0	0	0
	70	58	140	86	78	79
	77	95	321	118	108	198
	6281	6361	19630	8124	6631	11516
	0	1	1	0	0	0
	2	2	1	0	2	1
	2	0	1	4	0	0
	6	2	18	1	3	4
	3	1	10	0	0	7
	400	344	980	323	312	408
	0	0	4	0	3	0
	45	27	114	34	37	38
	8	9	14	7	7	0
	189	190	545	201	140	306
	884	842	2451	880	801	1235
	741	727	2049	895	716	1179
	2	4	17	6	2	2
	3	0	9	11	4	7
	71	37	167	74	76	83
	68	75	232	93	70	122
	37	31	106	63	49	64
	102	88	263	134	86	149
	4728	5195	15681	5809	4864	8378
	500	419	1156	420	398	646
	637	813	2139	945	757	1318
	7	10	17	8	7	16
	815	862	2441	965	812	1324
	1	0	4	4	5	6
	434	398	1144	432	442	714
	102	126	376	169	159	316
	542	452	1433	467	489	743
	354	386	956	502	457	909
	3805	4036	11742	5312	4454	6118
	631	598	1582	617	559	818
	21	25	70	25	31	36
	33	34	79	45	34	60
	1092	979	2722	1105	974	1515
	1923	2124	6868	2646	2056	3650
	292	322	994	377	327	529
	41	31	101	51	48	104
	0	0	0	0	0	0
	0	0	6	2	0	0
	0	0	0	0	0	0
	365	370	1212	364	345	625
	258	277	790	300	261	369
	284	301	1012	441	368	642
	0	1	0	0	0	0
	2	1	0	0	5	0
	1249	1325	3950	1444	1481	2725
	15	8	35	21	25	27
	0	0	0	0	0	0
	0	0	0	0	0	0
	27	30	81	38	32	40
	0	1	0	0	0	0
	0	0	0	0	0	0
	1	4	6	4	2	8
	192	146	460	43	38	36
	0	0	0	0	0	0
	91	105	299	103	84	157
	1441	1507	4556	1504	1192	2430
	0	0	1	1	1	0
	14	13	39	7	13	45
	4	2	8	5	3	8
	29	17	77	31	33	30
	1	0	0	0	0	0
	18	21	48	38	23	55
	0	0	0	0	0	0
	0	1	1	0	0	0
	0	0	0	0	0	0
	61	40	101	43	68	69
	404	410	1121	465	425	757
	24	57	135	96	62	108
	0	0	0	0	0	0
	665	763	2097	886	983	1518
	67	66	184	87	69	118
	479	494	1675	614	521	969
	1359	1560	4035	1675	1596	3055
	0	0	0	0	0	0
	204	205	605	250	177	431
	441	577	1730	654	566	948
	0	0	0	0	0	0
	174	176	581	210	188	465
	443	471	1499	542	517	847
	616	577	1746	678	625	916
	25	28	103	48	42	43
	266	301	913	343	326	600
	12	12	21	10	6	13
	280	251	769	339	271	557
	3	2	5	2	3	3
	231	165	512	180	230	338
	1117	1408	4128	2013	1790	2928
	0	0	0	0	0	0
	0	0	0	0	0	0
	374	384	1157	565	482	687
	209	193	663	253	205	337
	501	544	1726	724	530	851
	3	7	16	6	11	20
	274	316	834	265	252	480
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	1	0
	439	521	1252	569	487	699
	1	0	0	1	1	0
	197	232	531	243	266	504
	211	220	743	239	256	501
	2	9	35	16	7	23
	1432	1300	3270	1511	1571	2835
	180	259	698	305	263	448
	0	0	0	0	0	0
	0	0	0	0	0	0
	13	7	33	13	6	20
	1073	1032	3046	1236	997	1421
	275	263	684	303	334	407
	82	67	204	74	61	145
	2	0	8	4	1	6
	0	0	0	0	0	0
	15	10	28	15	16	31
	63	72	168	67	43	101
	80	64	152	73	47	77
	7650	7017	22323	9159	8271	12536
	15	7	29	10	10	16
	0	0	0	0	0	0
	418	336	1001	330	299	479
	737	816	2256	936	756	1481
	4	4	23	10	14	16
	0	0	0	0	0	0
	90	84	187	101	105	199
	0	0	0	0	0	0
	5	4	3	8	6	9
	1	0	0	0	2	2
	211	221	541	201	233	648
	18592	15773	39249	17848	19501	24884
	323	281	807	384	363	809
	2184	2176	6064	2380	2182	3268
	0	0	0	0	0	0
	123	166	311	172	141	258
	0	0	0	0	0	0
	152	151	443	182	228	530
	54	55	172	59	51	98
	0	0	0	0	0	0
	375	346	1036	435	459	789
	0	0	0	0	0	0
	617	389	1094	536	552	712
	38	48	142	37	25	89
	241	300	691	334	293	492
