	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
AF131215.2	11.9062410285607	11.3422449422045	10.4213340473319	11.5925253722116	6.11530368462426	7.38564045063621	7.92757113509758	22.0240448558451	21.0735054504402	4.78390686931472
AF131215.3	37.1720670609995	24.5710604717107	17.9280495180458	0	32.7297943684115	22.5878742152254	15.9109702359353	88.4063772382516	75.1918504334954	44.8070150435815
AF131215.4	7.14648011191612	2.65244917414318	2.19337998124282	14.2326381292949	2.00213848376555	3.10891404872107	7.78641392361681	5.40797195627444	9.6591943420168	7.04808794933501
AF131215.6	0	0.458581331895062	0.316010803322058	0	0	0	0	0	1.19283993115699	0
AF131216.1	0	0	0	0	0.0850342286357296	0	0	0	0	0
AF131216.5	0	0	0	6.98000647411335	0	0	0	0	0	0
AF186192.1	0.988717567931179	1.61465524901513	0	0	0	0	0	0	0	0
AF186192.2	0	0	0	0	0	0	0	0	0	0
AF186996.1	0	0	0	0	0	0	0	0	0	0
AF186996.2	0	0	0	0	0	0	0	0	0	0
AF186996.3	0	0	0	0	0	0	0	0	0	0
AF213884.1	0	0	0	0	0	0	0	0	0	0
AF213884.2	0	0	0	0	0	0	0	0	0	0
AF213884.3	0	0	0	0	0	0	0	0	0	0
AF228730.1	0	0	0	0	0	0	0	0	0	0
AF228730.2	0	0	0	0	0	0	0	0	0	0
AF228730.5	0	0	0	0	0	0	0	0	0	0
AF230666.2	0	0	0.877856217780171	0	1.3736839803885	0	0	3.24664799168062	6.62725412786256	0
AF235103.1	0	0	0	0	0	0	0	0	0	0
AF241726.2	0	0	0	0	0	0	0	0	0	0
AF246928.1	0	0	0	0	0	0	0	0	0	0
AF250324.1	0	0	0	0	0	0	0	0	0	0
AF254983.1	0	0	0	0	0	0	0	0	0	0
AFAP1	25.5837074313384	13.4359395332554	10.5905182909261	6.91323877567624	12.9501470301422	23.1907764477288	3.03919190337664	21.5774632368571	15.08070109058	5.7057956582002
AFAP1-AS1	0.665838350383087	1.6310513067314	1.9669405321123	3.64665533231823	1.90536740473313	3.45175627494256	0	4.50326082731271	2.12130650891848	0
AFAP1L1	33.1509413535025	17.5773219099546	21.0275166659966	10.5635298953542	29.7957451364338	46.6984008830682	4.64392965016564	55.5484269283054	38.7716564956028	20.550842313903
AFAP1L2	5.95929061673082	1.27632793565266	5.27714568643116	6.84858123561303	3.8708274192585	11.8431240649098	0.585426958067752	8.53864495998228	8.71479911009738	0.706553873426168
AFF1	165.506512238767	83.5552875399228	67.006774100103	42.9413796222589	80.4493997924815	91.4458502189486	47.995301626632	146.058323188576	118.18284170995	70.1205840567029
AFF2	1.98562758534034	2.26988259850312	3.08368494448796	2.78396438262508	3.11203422633833	3.9274208300804	0.951909742364783	6.94195852444877	4.04867010128532	3.73380555104509
AFF2-IT1	0	0	1.43667213970796	11.1869178253284	0	4.07270079670684	7.65019562134135	21.2534518642749	0	0
AFF3	6.50053389490384	3.47965423651102	5.85237478520114	9.81034115550669	6.35964805735418	11.7515362835246	2.59696295804921	19.3897032836481	3.37499052807816	7.57451920974831
AFF4	72.2411517420805	69.0169579340573	54.8942223586187	30.3120749194941	63.2106510255892	93.8807896353553	49.2688602323989	134.998795026823	167.597975534314	82.6677426738952
